epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,218530,0.35399,0.29864,0.83783,0.89063,0.87932,0.91004,0.83479,0.34881,0.32208,0.83806,0.001882,0.001882,0.001882
84,221254,0.35005,0.29842,0.83646,0.89145,0.87279,0.90501,0.82923,0.34834,0.32139,0.84113,0.001783,0.001783,0.001783
85,223962,0.35001,0.29392,0.83631,0.89693,0.87829,0.90939,0.8312,0.3504,0.32182,0.84235,0.001684,0.001684,0.001684
86,226666,0.34819,0.29595,0.83701,0.89824,0.87788,0.90831,0.83541,0.34811,0.32138,0.84021,0.001585,0.001585,0.001585
87,229401,0.34279,0.29036,0.83908,0.89719,0.88402,0.91286,0.84259,0.34638,0.32256,0.83977,0.001486,0.001486,0.001486
88,232103,0.33997,0.28354,0.83163,0.90358,0.87603,0.91489,0.83768,0.34744,0.32157,0.84053,0.001387,0.001387,0.001387
89,234796,0.34075,0.2819,0.83359,0.92515,0.86677,0.9161,0.83828,0.34612,0.31742,0.83962,0.001288,0.001288,0.001288
90,237510,0.33723,0.27941,0.83282,0.92032,0.8806,0.91897,0.8388,0.34507,0.31627,0.83897,0.001189,0.001189,0.001189
91,240201,0.30339,0.2465,0.80382,0.91953,0.88044,0.91729,0.8369,0.34646,0.31991,0.84097,0.00109,0.00109,0.00109
92,242922,0.29639,0.24194,0.80409,0.91895,0.88154,0.91693,0.83694,0.34914,0.32246,0.84282,0.000991,0.000991,0.000991
93,245592,0.28956,0.23424,0.79969,0.91497,0.8825,0.91739,0.84149,0.34961,0.31985,0.84378,0.000892,0.000892,0.000892
94,248313,0.28782,0.23306,0.80062,0.91064,0.88464,0.91746,0.84077,0.35013,0.31724,0.84449,0.000793,0.000793,0.000793
95,251001,0.28453,0.22905,0.79946,0.90296,0.89064,0.91804,0.84221,0.3488,0.31962,0.84317,0.000694,0.000694,0.000694
96,253696,0.28366,0.22577,0.79938,0.90669,0.88985,0.91915,0.84226,0.35025,0.31905,0.84503,0.000595,0.000595,0.000595
97,256407,0.28025,0.22437,0.80109,0.92503,0.86906,0.91714,0.84077,0.34953,0.31623,0.84489,0.000496,0.000496,0.000496
98,259106,0.28097,0.22209,0.79971,0.90363,0.89267,0.91874,0.84124,0.34965,0.31695,0.84545,0.000397,0.000397,0.000397
99,261793,0.27397,0.22065,0.79718,0.9046,0.88788,0.91904,0.84115,0.34977,0.31715,0.84555,0.000298,0.000298,0.000298
100,264458,0.27233,0.21369,0.79678,0.90556,0.88722,0.91938,0.84118,0.34995,0.31729,0.84557,0.000199,0.000199,0.000199
